Loan #,Loan Type,Balance,Rate,Term,Asset,Asset Value
100,Auto Loan,35147.52,0,73,Car,37860
101,Auto Loan,32831.76,0,50,Car,35802
102,Auto Loan,37917.89,0.0385,62,Car,46401
103,Auto Loan,30435.46,0.009,68,Car,25249
104,Auto Loan,24561.19,0.025,68,Car,19978
105,Auto Loan,8526.69,0.0399,74,Car,20315
106,Auto Loan,34443.86,0.0325,77,Car,46244
107,Auto Loan,20850,0.106,74,Car,18700
108,Auto Loan,20635.81,0.0425,76,Car,24763
109,Auto Loan,25906.6,0.0755,73,Car,20856
110,Auto Loan,25840.97,0.035,74,Car,20966
111,Auto Loan,14315.66,0.0575,74,Car,44114
112,Auto Loan,29387.77,0.025,62,Car,38522
113,Auto Loan,25578.13,0,62,Car,22629
114,Auto Loan,26572.03,0.0875,74,Car,21775
115,Auto Loan,22772.96,0.029,73,Car,30147
116,Auto Loan,32293.84,0.095,74,Car,25188
117,Auto Loan,30041.01,0.035,73,Car,40767
118,Auto Loan,43390.88,0.049,73,Car,28447
119,Auto Loan,18492.25,0.045,73,Car,25995
120,Auto Loan,28646.13,0.052,73,Car,22925
121,Auto Loan,35818.44,0.039,73,Car,28769
122,Auto Loan,21275.1,0.019,62,Car,25990
123,Auto Loan,21000,0.019,62,Car,24759
124,Auto Loan,22364.83,0.085,74,Car,20275
125,Auto Loan,30728.54,0.0625,74,Car,24886
126,Auto Loan,42579,0.059,74,Car,34661
127,Auto Loan,30702.76,0.029,74,Car,24744
128,Auto Loan,20919.56,0.089,74,Car,21934
129,Auto Loan,33774.75,0.025,61,Car,31858
130,Auto Loan,29381.72,0.019,61,Car,25123
131,Auto Loan,9518.17,0.0225,62,Car,28451
132,Auto Loan,14609.04,0.019,61,Car,25813
133,Auto Loan,25765.78,0.039,73,Car,26946
134,Auto Loan,48106.94,0.019,67,Car,42852
135,Auto Loan,33543.62,0.029,74,Car,42177
136,Auto Loan,29954.16,0,73,Car,30303
137,Auto Loan,36907.2,0,74,Car,32649
138,Auto Loan,23039.88,0.0475,73,Car,27028
139,Auto Loan,43852.95,0.019,68,Car,39434
140,Auto Loan,28615.41,0.039,74,Car,33886
141,Auto Loan,24237.24,0.045,74,Car,29078
142,Auto Loan,22111.11,0.039,73,Car,20287
143,Auto Loan,24860,0.029,74,Car,24477
144,Auto Loan,35152.56,0,73,Car,33828
145,Auto Loan,24869.85,0.029,73,Car,30948
146,Auto Loan,41492.13,0.019,67,Car,40086
147,Auto Loan,35106.48,0,73,Car,34110
148,Auto Loan,37466.69,0.029,73,Car,46908
149,Auto Loan,22223.98,0.029,73,Car,25970
150,Auto Loan,22473.97,0,62,Car,31095
151,Auto Loan,21515.85,0.0175,67,Car,19864
152,Auto Loan,17146.24,0.0365,74,Car,19709
153,Auto Loan,10936.63,0.025,62,Car,42247
154,Auto Loan,22392.76,0.0399,73,Car,21701
155,Auto Loan,49477.25,0.019,62,Car,43461
156,Auto Loan,38262,0.0325,62,Car,33771
157,Auto Loan,13597.2,0.0325,62,Car,39340
158,Auto Loan,41050.03,0,74,Car,31352
159,Auto Loan,21741.8,0.049,73,Car,26153
160,Auto Loan,20266.04,0.009,73,Car,19887
161,Auto Loan,13668.46,0.029,62,Car,30083
162,Auto Loan,12399.84,0,49,Car,17231
163,Auto Loan,30706.55,0,61,Car,26559
164,Auto Loan,35578.46,0,50,Car,38705
165,Auto Loan,24308.96,0,50,Car,21828
166,Auto Loan,22643.74,0,62,Car,31772
167,Auto Loan,26634.58,0.03,76,Car,26414
168,Auto Loan,17998.8,0.0325,61,Car,24656
169,Auto Loan,22564.63,0.059,61,Car,22091
170,Auto Loan,33090.26,0.019,61,Car,62271
171,Auto Loan,53981.16,0,67,Car,45214
172,Auto Loan,15790.49,0.0425,73,Car,26439
173,Auto Loan,19995.52,0.0535,61,Car,24625
174,Auto Loan,43346.66,0.019,61,Car,40978
175,Auto Loan,17529.44,0.0655,61,Car,31131
176,Auto Loan,17800,0.0595,62,Car,14925
177,Auto Loan,13215.48,0.029,49,Car,30152
178,Auto Loan,26832.96,0.025,62,Car,32898
179,Auto Loan,11843.31,0.025,38,Car,24540
180,Auto Loan,58668.09,0.019,62,Car,43573
181,Auto Loan,25482.17,0.009,61,Car,22030
182,Auto Loan,38132.7,0.05,61,Car,49096
183,Auto Loan,9999.74,0.039,37,Car,24791
184,Auto Loan,27137.43,0.025,61,Car,31799
185,Auto Loan,29418.93,0.049,73,Car,24363
186,Auto Loan,33012.79,0.009,61,Car,26674
187,Auto Loan,13827.55,0.0525,61,Car,23214
188,Auto Loan,55573.63,0.0599,77,Car,48550
189,Auto Loan,24052.21,0.019,61,Car,31710
190,Auto Loan,26269.73,0,61,Car,22693
191,Auto Loan,23605.95,0.029,74,Car,34421
192,Auto Loan,27171.75,0.025,62,Car,34232
193,Auto Loan,32350.29,0.029,73,Car,23723
194,Auto Loan,23974.46,0.045,74,Car,41130
195,Auto Loan,24913.72,0.0605,62,Car,24975
196,Auto Loan,17980.38,0.045,74,Car,27750
197,Auto Loan,22365.5,0.035,62,Car,29166
198,Auto Loan,17000,0.019,61,Car,35824
199,Auto Loan,32550.99,0.045,77,Car,30163
200,Auto Loan,25083.84,0,50,Car,26537
201,Auto Loan,17019.06,0.035,76,Car,16730
202,Auto Loan,39262.8,0.019,61,Car,35489
203,Auto Loan,20730.16,0.019,61,Car,47990
204,Auto Loan,22981.6,0.0755,73,Car,18558
205,Auto Loan,21492.94,0.068,73,Car,14925
206,Auto Loan,38187.18,0.0505,76,Car,36958
207,Auto Loan,34925.36,0.06,67,Car,28754
208,Auto Loan,34390.77,0.019,61,Car,29238
209,Auto Loan,18669.12,0.019,61,Car,36714
210,Auto Loan,45925.95,0.079,73,Car,30653
211,Auto Loan,25502.02,0.029,73,Car,28220
212,Auto Loan,36346.83,0.071,73,Car,30500
213,Auto Loan,18703.29,0.019,61,Car,29381
214,Auto Loan,59954.58,0.0325,73,Car,46188
215,Auto Loan,52534.84,0.009,61,Car,46761
216,Auto Loan,27099.06,0.019,74,Car,30196
217,Auto Loan,33622.22,0.085,73,Car,30970
218,Auto Loan,35019.04,0.0325,68,Car,40669
219,Auto Loan,18376.2,0.025,74,Car,19098
220,Auto Loan,51222.51,0.039,74,Car,45592
221,Auto Loan,42727.76,0.019,67,Car,41437
222,Auto Loan,35389.44,0,73,Car,35484
223,Auto Loan,44256.96,0,73,Car,34245
224,Auto Loan,27796.52,0.0505,73,Car,26373
225,Auto Loan,42580.15,0.039,73,Car,38171
226,Auto Loan,33133.64,0.0275,62,Car,33354
227,Auto Loan,17201,0.0275,62,Car,16501
228,Auto Loan,36005.34,0.029,74,Car,33628
229,Auto Loan,22455.25,0.0275,67,Car,24371
230,Auto Loan,65927.73,0.029,74,Car,45159
231,Auto Loan,43845.95,0.039,74,Car,32418
232,Auto Loan,34917.84,0.029,74,Car,33753
233,Auto Loan,36970.51,0.019,67,Car,39966
234,Auto Loan,28638,0,74,Car,29440
235,Auto Loan,40500,0.0325,68,Car,44001
236,Auto Loan,35282.21,0.0425,74,Car,38826
237,Auto Loan,28150,0.0225,67,Car,34981
238,Auto Loan,13602.32,0.029,62,Car,27234
239,Auto Loan,23609,0.089,74,Car,24674
240,Auto Loan,19610.7,0.019,62,Car,33903
241,Auto Loan,41321.95,0.019,74,Car,34356
242,Auto Loan,18729.74,0.025,62,Car,24820
243,Auto Loan,36428.76,0.0615,74,Car,25193
244,Auto Loan,10802.93,0.025,38,Car,21962
245,Auto Loan,9595.09,0.045,73,Car,20598
246,Auto Loan,21144,0.019,61,Car,60133
247,Auto Loan,42893.59,0.045,73,Car,34356
248,Auto Loan,15353.66,0.059,61,Car,25090
249,Auto Loan,28381.65,0.049,73,Car,30628
250,Auto Loan,40086.57,0.0625,76,Car,33869
251,Auto Loan,35607.32,0.019,62,Car,35148
252,Auto Loan,23688.61,0.009,62,Car,19865
253,Auto Loan,19148.1,0.0859,49,Car,31090
254,Auto Loan,21875.37,0.076,73,Car,21025
255,Auto Loan,40591.58,0.0475,76,Car,35793
256,Auto Loan,26233.74,0.0525,76,Car,32174
257,Auto Loan,18998.55,0.025,67,Car,30696
258,Auto Loan,22091.47,0.019,61,Car,26882
259,Auto Loan,15705.37,0.0903,49,Car,25742
260,Auto Loan,27886.01,0.019,61,Car,29514
261,Auto Loan,30346.92,0.0928,73,Car,27144
262,Auto Loan,8368.89,0.046,62,Car,25304
263,Auto Loan,33651.6,0.019,62,Car,35324
264,Auto Loan,29904.75,0.0475,62,Car,40952
265,Auto Loan,21529.47,0,49,Car,22729
266,Auto Loan,31052.44,0.06,73,Car,20832
267,Auto Loan,25356.35,0.0354,62,Car,25752
268,Auto Loan,74320.45,0.019,61,Car,60606
269,Auto Loan,33283.73,0.045,73,Car,21902
270,Auto Loan,27609.59,0.035,37,Car,24608
271,Auto Loan,26057.63,0.0825,73,Car,22625
272,Auto Loan,32581.08,0.045,76,Car,28469
273,Auto Loan,25525.92,0.0855,73,Car,24750
274,Auto Loan,34344.34,0.0565,73,Car,42223
275,Auto Loan,23518.57,0.019,49,Car,41522
276,Auto Loan,38014.11,0.035,77,Car,39897
277,Auto Loan,37832.37,0.019,67,Car,39542
278,Auto Loan,26717.5,0.019,49,Car,39421
279,Auto Loan,27202.97,0.049,73,Car,22397
280,Auto Loan,15109.35,0.009,62,Car,16641
281,Auto Loan,27317.7,0.0375,77,Car,37876
282,Auto Loan,23966.69,0.009,61,Car,22030
283,Auto Loan,12726.06,0.029,73,Car,34405
284,Auto Loan,23233,0.019,64,Car,23584
285,Auto Loan,21359.64,0.019,67,Car,27848
286,Auto Loan,16667.03,0.035,61,Car,21795
287,Auto Loan,34810.39,0.019,61,Car,26425
288,Auto Loan,17572.3,0.049,73,Car,30369
289,Auto Loan,18817.5,0.035,73,Car,32022
290,Auto Loan,37340.83,0.065,73,Car,27206
291,Auto Loan,58527.98,0.0275,67,Car,44446
292,Auto Loan,42905.4,0.0625,73,Car,33045
293,Auto Loan,25015.37,0.079,73,Car,26117
294,Auto Loan,34167.16,0.0525,73,Car,28495
295,Auto Loan,28531.05,0.0355,49,Car,47470
296,Auto Loan,26705.99,0.019,61,Car,27764
297,Auto Loan,24234.48,0.049,73,Car,24843
298,Auto Loan,21754.38,0.0535,76,Car,21092
299,Auto Loan,26808.96,0.019,61,Car,31936
300,Auto Loan,27373.31,0.039,74,Car,28742
301,Auto Loan,25124.34,0,61,Car,24474
302,Auto Loan,25691.26,0.029,61,Car,40282
303,Auto Loan,42579.71,0.0475,76,Car,39951
304,Auto Loan,24381.83,0.019,62,Car,42518
305,Auto Loan,27740.88,0,74,Car,26191
306,Auto Loan,42084.62,0.029,74,Car,42575
307,Auto Loan,40659.51,0.019,68,Car,40551
308,Auto Loan,31545.94,0.019,68,Car,33915
309,Auto Loan,36231.45,0.039,73,Car,36350
310,Auto Loan,40000,0.019,67,Car,43605
311,Auto Loan,22884.72,0.035,74,Car,25714
312,Auto Loan,13250,0.025,74,Car,16347
313,Auto Loan,28246.98,0.095,74,Car,26692
314,Auto Loan,39000,0.019,68,Car,42126
315,Auto Loan,34649.99,0.029,74,Car,34451
316,Auto Loan,40642.72,0.039,73,Car,29402
317,Auto Loan,43115.56,0.019,67,Car,43657
318,Auto Loan,25639.19,0.0599,73,Car,28210
319,Auto Loan,17820.74,0.0225,67,Car,20830
320,Auto Loan,21774.36,0.0499,73,Car,27186
321,Auto Loan,35226.3,0,74,Car,33342
322,Auto Loan,18620.04,0.0585,65,Car,20274
323,Auto Loan,28372.6,0.049,74,Car,30906
324,Auto Loan,22996.02,0.019,61,Car,45217
325,Auto Loan,26495.07,0.019,62,Car,24762
326,Auto Loan,21276,0.0605,73,Car,22073
327,Auto Loan,24925,0.009,68,Car,22660
328,Auto Loan,23273.89,0.019,74,Car,28731
329,Auto Loan,44013.74,0.029,74,Car,46870
330,Auto Loan,49525.2,0.019,67,Car,48660
331,Auto Loan,27890.84,0.0275,73,Car,26208
332,Auto Loan,24365.9,0.059,74,Car,24644
333,Auto Loan,25096.66,0.059,74,Car,20113
334,Auto Loan,36000.28,0,74,Car,33655
335,Auto Loan,28224,0,73,Car,28053
336,Auto Loan,34607.46,0.0375,73,Car,29161
337,Auto Loan,39799.92,0.0175,49,Car,41103
338,Auto Loan,30937.42,0,73,Car,37598
339,Auto Loan,44046.38,0,61,Car,32966
340,Auto Loan,21792.82,0.035,74,Car,25875
341,Auto Loan,25868.6,0.019,74,Car,27119
342,Auto Loan,27533.18,0.035,62,Car,26391
343,Auto Loan,21231,0.025,62,Car,29064
344,Auto Loan,42001.2,0,73,Car,38487
345,Auto Loan,36689,0.019,73,Car,35409
346,Auto Loan,26796,0,62,Car,24472
347,Auto Loan,31114.95,0,61,Car,28070
348,Auto Loan,29664.39,0.039,73,Car,31714
349,Auto Loan,25898.74,0.009,61,Car,24031
350,Auto Loan,20734.2,0,62,Car,37908
351,Auto Loan,50809.24,0.019,61,Car,46128
352,Auto Loan,29895,0.0849,77,Car,20810
353,Auto Loan,13600.1,0.035,73,Car,20113
354,Auto Loan,29656.24,0.019,62,Car,36681
355,Auto Loan,15043.43,0.009,62,Car,24620
356,Auto Loan,27620.6,0.035,50,Car,41176
357,Auto Loan,36682.6,0.019,62,Car,37889
358,Auto Loan,38937.2,0.019,62,Car,37493
359,Auto Loan,63982.66,0.049,77,Car,46884
360,Auto Loan,61603.6,0.019,62,Car,41582.97
361,Auto Loan,23551.07,0.102,74,Car,18425
362,Auto Loan,22930,0.0375,61,Car,31100
363,Auto Loan,33592.99,0.035,62,Car,33859
364,Auto Loan,36011,0.029,74,Car,28497
365,Auto Loan,35910.02,0.045,77,Car,31523
366,Auto Loan,25330.04,0,62,Car,26459
367,Auto Loan,37663.98,0.035,77,Car,32486
368,Auto Loan,20184.75,0.035,77,Car,17195
369,Auto Loan,42480.3,0.0375,77,Car,35810
370,Auto Loan,9391,0.029,38,Car,30995
371,Auto Loan,23010.2,0.035,77,Car,25058
372,Auto Loan,13819.8,0.0655,61,Car,13650
373,Auto Loan,22929,0.009,61,Car,22147
374,Auto Loan,15087.52,0.0399,73,Car,28683
375,Auto Loan,24441.44,0.019,49,Car,32741
376,Auto Loan,38104.97,0.019,61,Car,40525
377,Auto Loan,39087.91,0.025,61,Car,37910
378,Auto Loan,15327.14,0.025,61,Car,39857
379,Auto Loan,14754.08,0.049,73,Car,21873
380,Auto Loan,18442.02,0.019,67,Car,23498
381,Auto Loan,32931.38,0.019,68,Car,34593
382,Auto Loan,22098.75,0.0275,74,Car,23632
383,Auto Loan,13512.32,0.019,61,Car,27855
384,Auto Loan,23630.76,0.0325,67,Car,26513
385,Auto Loan,11864.36,0.0255,61,Car,22903
386,Auto Loan,28989.11,0.059,73,Car,35556
387,Auto Loan,33890.97,0.029,74,Car,40914
388,Auto Loan,18674.76,0.0885,74,Car,20963
389,Auto Loan,26403.8,0.0375,67,Car,25979
390,Auto Loan,23265.14,0.0885,74,Car,20230
391,Auto Loan,35500.49,0.0615,73,Car,24307
392,Auto Loan,28024.38,0.085,73,Car,25462
393,Auto Loan,44033.79,0.019,67,Car,43092
394,Auto Loan,33998.92,0.095,74,Car,31782
395,Auto Loan,35652.63,0.019,67,Car,43059
396,Auto Loan,15770.89,0.029,61,Car,36881
397,Auto Loan,19092.09,0.086,73,Car,16388
398,Auto Loan,23589,0.0999,73,Car,19975
399,Auto Loan,10543.29,0.029,61,Car,19894
400,Auto Loan,25140.17,0.0675,74,Car,26013
401,Auto Loan,20070.06,0.0689,73,Car,20575
402,Auto Loan,15895.58,0.0759,73,Car,17264
403,Auto Loan,33962.26,0.035,73,Car,36047
404,Auto Loan,22530.72,0.035,61,Car,28627
405,Auto Loan,29519.31,0,74,Car,30243
406,Auto Loan,32851.2,0,74,Car,28418
407,Auto Loan,26720.64,0,49,Car,40400
408,Auto Loan,26940.35,0.0441,74,Car,32456
409,Auto Loan,38860.02,0,50,Car,45753
410,Auto Loan,14693.76,0.0845,74,Car,18800
411,Auto Loan,17376.28,0.062,74,Car,18895
412,Auto Loan,10000,0.0535,61,Car,21924
413,Auto Loan,28390.35,0.009,61,Car,22162
414,Auto Loan,30021.84,0.029,61,Car,49183
415,Auto Loan,39515.48,0.049,73,Car,26250
416,Auto Loan,39722.2,0.019,61,Car,43263
417,Auto Loan,25631.93,0.045,73,Car,35839
418,Auto Loan,10001,0.019,61,Car,29916
419,Auto Loan,44822.68,0.0699,76,Car,31631
420,Auto Loan,24043.91,0.019,61,Car,31671
421,Auto Loan,22562.92,0.025,61,Car,32992
422,Auto Loan,19900,0.045,73,Car,34723
423,Auto Loan,34345.7,0.025,61,Car,28536
424,Auto Loan,16216.74,0.0475,76,Car,19710
425,Auto Loan,24179.41,0.045,73,Car,32721
426,Auto Loan,35753.98,0.0775,73,Car,28673
427,Auto Loan,34926.43,0.029,73,Car,28638
428,Auto Loan,20883.21,0.009,62,Car,22575
429,Auto Loan,19353,0.019,62,Car,17661
430,Auto Loan,52051.01,0.05,73,Car,42830
431,Auto Loan,39162.78,0.0425,77,Car,33267
432,Auto Loan,10521.48,0.039,62,Car,21818
433,Auto Loan,21524.74,0.035,62,Car,31724
434,Auto Loan,53443.24,0.0325,74,Car,36575
435,Auto Loan,34184.75,0.0825,74,Car,26570
436,Auto Loan,16381.21,0.035,62,Car,21800
437,Auto Loan,31944.13,0.019,68,Car,22415
438,Auto Loan,21168.88,0.0585,74,Car,22700
439,Auto Loan,14586.83,0.0325,74,Car,18050
440,Auto Loan,24295.41,0.029,73,Car,26172
441,Auto Loan,32998.2,0,62,Car,30921
442,Auto Loan,25317.23,0.0425,74,Car,30365
443,Auto Loan,33446.16,0,74,Car,28478
444,Auto Loan,33030.41,0.079,73,Car,25610
445,Auto Loan,44301.34,0.0475,73,Car,34947
446,Auto Loan,11680.7,0,49,Car,27511
447,Auto Loan,39466.08,0,74,Car,34289
448,Auto Loan,35771.97,0.029,74,Car,34095
449,Auto Loan,32530.08,0,68,Car,34399
450,Auto Loan,26057.54,0.079,74,Car,27221
451,Auto Loan,33719.74,0.0325,67,Car,34273
452,Auto Loan,22576.04,0.029,62,Car,22768
453,Auto Loan,38177.85,0.039,73,Car,35373
454,Auto Loan,40771.07,0.019,67,Car,41029
455,Auto Loan,32764.19,0.019,68,Car,35593
456,Auto Loan,28482.63,0.029,73,Car,25906
457,Auto Loan,39525.84,0,74,Car,35064
458,Auto Loan,17246.35,0.0225,61,Car,35201
459,Auto Loan,25855.59,0.069,73,Car,27878
460,Auto Loan,42835.54,0.019,67,Car,47867
461,Auto Loan,41992.26,0.019,67,Car,37321
462,Auto Loan,46055.74,0.029,73,Car,42274
463,Auto Loan,16177.25,0.0225,61,Car,36355
464,Auto Loan,22006,0.009,37,Car,25959
465,Auto Loan,39183.46,0.019,61,Car,46210
466,Auto Loan,35827.25,0.019,61,Car,40046
467,Auto Loan,30778.43,0,62,Car,30380
468,Auto Loan,47697.5,0.019,62,Car,47002
469,Auto Loan,30250,0.019,62,Car,38824
470,Auto Loan,14310.24,0,50,Car,17190
471,Auto Loan,20964.16,0.019,62,Car,33164
472,Auto Loan,21649.44,0.029,74,Car,27179
473,Auto Loan,29238.12,0.035,73,Car,32921
474,Auto Loan,25019.99,0.035,74,Car,28271
475,Auto Loan,26247.6,0,73,Car,29947
476,Auto Loan,28803.87,0.025,61,Car,33331
477,Auto Loan,29462.4,0,73,Car,34637
478,Auto Loan,42389.77,0.019,62,Car,40338
479,Auto Loan,23078.95,0.069,74,Car,23607
480,Auto Loan,25227.05,0,73,Car,30365
481,Auto Loan,16183.64,0.0335,62,Car,22479
482,Auto Loan,38189.25,0.087,73,Car,31046
483,Auto Loan,24187.84,0.019,61,Car,28766
484,Auto Loan,26531.78,0.0425,61,Car,20486
485,Auto Loan,9426.17,0.029,49,Car,30221
486,Auto Loan,35378.84,0.035,73,Car,39970
487,Auto Loan,26932.25,0.045,73,Car,22261
488,Auto Loan,26773.34,0.0405,61,Car,23578
489,Auto Loan,16704.93,0.019,61,Car,17665
490,Auto Loan,28000,0.0399,73,Car,38339
491,Auto Loan,22041.89,0.035,61,Car,23923
492,Auto Loan,38857.55,0.019,61,Car,41309
493,Auto Loan,27456.6,0.067,74,Car,17525
494,Auto Loan,43559.76,0.045,74,Car,35371
495,Auto Loan,26372.17,0.0375,61,Car,25130
496,Auto Loan,20226.09,0.0305,62,Car,24150
497,Auto Loan,31549.7,0.009,73,Car,50565
498,Auto Loan,25301,0.029,74,Car,20912
499,Auto Loan,41771.24,0.019,61,Car,39464
500,Auto Loan,37737.06,0.0375,62,Car,30038
501,Auto Loan,18943.61,0.0605,74,Car,20312
502,Auto Loan,26835.79,0.019,62,Car,33298
503,Auto Loan,20513.32,0.019,68,Car,28336
504,Auto Loan,38663.24,0.035,74,Car,29714
505,Auto Loan,25519.4,0.029,74,Car,34967
506,Auto Loan,24946.95,0.095,74,Car,20168
507,Auto Loan,26289.76,0.029,74,Car,26964
508,Auto Loan,43145.79,0.0515,74,Car,27657
509,Auto Loan,42307.12,0.029,77,Car,36615
510,Auto Loan,33000,0,68,Car,36851
511,Auto Loan,19774.13,0.0365,73,Car,23676
512,Auto Loan,49505.67,0.0475,76,Car,43895
513,Auto Loan,12865,0.0755,74,Car,20950
514,Auto Loan,22798.88,0.009,61,Car,35551
515,Auto Loan,20131.88,0.035,76,Car,23999
516,Auto Loan,24135.74,0.0755,73,Car,18725
517,Auto Loan,26103.29,0.035,76,Car,23835
518,Auto Loan,34000,0,61,Car,34029
519,Auto Loan,27392.1,0.04,61,Car,37796
520,Auto Loan,23790.91,0.069,74,Car,25947
521,Auto Loan,17534.11,0.079,73,Car,21726
522,Auto Loan,62952.8,0.0325,62,Car,47165
523,Auto Loan,37453,0.0695,74,Car,32208
524,Auto Loan,30934,0.019,73,Car,32012
525,Auto Loan,46275.75,0.019,68,Car,47530
526,Auto Loan,26775.62,0.0505,73,Car,28195
527,Auto Loan,26154.99,0.085,73,Car,26250
528,Auto Loan,25284.96,0.069,74,Car,27295
529,Auto Loan,22471.2,0,61,Car,17365
530,Auto Loan,29032.55,0.08,73,Car,25635
531,Auto Loan,37935.6,0.029,74,Car,32712
532,Auto Loan,21511.5,0.086,74,Car,19820
533,Auto Loan,20653.18,0.069,73,Car,22704
534,Auto Loan,22810.86,0.029,74,Car,22709
535,Auto Loan,27526.13,0.095,74,Car,24623
536,Auto Loan,23626.99,0.019,74,Car,23039
537,Auto Loan,37828.17,0.019,67,Car,46591
538,Auto Loan,23633.42,0.0675,73,Car,20369
539,Auto Loan,26853.81,0.0375,67,Car,26179
