Period,Principal Due,Interest Due,Total,Recoveries,Balance
56,453992.34048171144,47587.96527425572,501580.30575596716,19549.610317679202,2958461.9792447085
57,429125.76806936925,41257.17645802733,470382.9445273966,0,2529336.2111753426
58,390824.50616551033,35209.28991127704,426033.7960767874,10245.960957175756,2133472.5815841965
59,354537.6099017151,29764.4305619975,384302.04046371265,0,1778934.9716824794
60,321798.9280559967,24801.564840351297,346600.492896348,11197.569694752228,1454856.1490967043
61,277997.7469317201,20317.22777321213,298314.97470493225,13652.11629550449,1176858.402164986
62,233232.14202993608,16422.56180758143,249654.7038375175,44007.4188895728,942200.3773485029
63,194745.12758190205,13117.90764213189,207863.03522403393,27199.317722239386,743438.1375707428
64,170315.42906780733,10403.803681868927,180719.23274967624,25351.375267231866,573122.7085029332
65,137481.8929332848,8020.81892806654,145502.71186135136,35802.85922275203,435496.1699221334
66,118014.27773527667,6097.797745071375,124112.07548034805,19373.175496982683,317481.89218685665
67,97333.20119052306,4452.191571428798,101785.39276195187,36706.85553621457,220148.6909963336
68,78431.18151683164,3090.9833581166213,81522.16487494826,28731.08899052455,141717.50947950227
69,57372.49871137675,1963.0996142153242,59335.59832559207,29581.416434941544,82479.62891172056
70,49303.995345492,1156.615326341623,50460.61067183362,22565.36081357856,33175.63356622853
71,33175.63356622843,463.6284265312761,33639.26199275971,56494.95212275276,1.964508555829525e-10
72,-2.887381801883748e-12,2.887381801883748e-12,0.0,36859.18635253495,0
